"OFFENSES","MALE","FEMALE","TOTAL","%"
"Aggravated Assault","23","0","23","2.85"
"Burglary","73","0","73","9.03"
"Homicide","9","0","9","1.11"
"Manslaughter","8","4","12","1.49"
"Property","257","42","299","37.00"
"Possession of Drugs","153","13","166","20.54"
"Robbery","18","0","18","2.23"
"Sale of Drugs","91","13","104","12.87"
"Sex Offense","78","1","79","9.78"
"Violent","19","6","25","3.09%"
"TOTAL","729","79","808","100.00"
