"Offense","Male","Female","Total","Percent"
"Aggravated Assault","33","1","34","5.32%"
"Burglary","60","3","63","9.86%"
"Drug Intent","29","2","31","4.85%"
"Homicide/Manslaughter","16","3","19","2.97%"
"Other Property","229","26","255","39.91%"
"Possession of Drugs","65","11","76","11.89%"
"Roberry","11","0","11","1.72%"
"Sale of Drugs","65","14","79","12.36%"
"Sex Offense","50","0","50","7.82%"
"Violent","20","1","21","3.29%"
"Total","578","61","639","100.00%"
