"OFFENSE","MALE","FEMALE","TOTAL","PERCENT"
"AGGRAVATED ASSAULT","1199","76","1275","6.13%"
"BURGLARY","1870","115","1985","9.54%"
"DRUG INTENT","814","90","904","4.34%"
"HOMICIDE/MANSLAUGHTER","2668","213","2881","13.84%"
"OTHER PROPERTY","2162","467","2629","12.63%"
"POSSESSION OF DRUGS","1480","253","1733","8.33%"
"ROBBERY","3091","128","3219","15.47%"
"SALE OF DRUGS","2095","223","2318","11.14%"
"SEX OFFENSE","2753","61","2814","13.52%"
"VIOLENT","917","125","1042","5.01%"
"OTHER","7","3","10","0.05%"
"TOTAL","19056","1754","20810","100.00%"
