"Offense","Male","Female","Total","Percent"
"Aggravated Assault","337","28","365","3.91%"
"Burglary","1869","95","1964","21.05%"
"Drug Intent","724","75","799","8.56%"
"Homicide/Manslaughter","137","24","161","1.73%"
"Other Property","2266","412","2678","28.70%"
"Possession Of Drugs","1329","207","1536","16.46%"
"Robbery","457","23","480","5.14%"
"Sale Of Drugs","661","82","743","7.96%"
"Sex Offense","284","7","291","3.12%"
"Violent","264","51","315","3.38%"
"Total","8328","1004","9332","100.00%"
