"Age","Male","Female","Total","Percent"
"16-17","1","0","1","0.03%"
"18-19","6","0","6","0.20%"
"20-29","794","108","902","29.32%"
"30-39","1102","126","1228","39.92%"
"40-49","518","88","606","19.70%"
"50-59","244","38","282","9.17%"
"60-69","45","3","48","1.56%"
"70-79","3","0","3","0.10%"
"80+","0","0","0","0.00%"
"Total","2713","363","3076","100.00%"
