"Age","Male","Female","Total","Percent"
"16-17","0","0","0","0.00%"
"18-19","6","1","7","0.29%"
"20-29","591","93","684","27.88%"
"30-39","891","139","1030","41.99%"
"40-49","380","89","469","19.12%"
"50-59","164","33","197","8.03%"
"60-69","52","9","61","2.49%"
"70-79","4","0","4","0.16%"
"80+","0","1","1","0.04%"
"Total","2088","365","2453","100.00%"
