"Age","Male","Female","Total","Percent"
"16-17","0","0","0","0.00%"
"18-19","0","2","2","0.07%"
"20-29","620","102","722","24.75%"
"30-39","1068","181","1249","42.82%"
"40-49","534","82","616","21.12%"
"50-59","224","38","262","8.98%"
"60-69","54","7","61","2.09%"
"70-79","5","0","5","0.17%"
"80+","0","0","0","0.00%"
"Total","2505","412","2917","100.00%"
