Location,Capacity_x_x,1-May-06,2-May-06,3-May-06,4-May-06,5-May-06,6-May-06,7-May-06,8-May-06,9-May-06,Capacity_y_x,10-May-06,11-May-06,12-May-06,13-May-06,14-May-06,15-May-06,16-May-06,17-May-06,18-May-06,Capacity_x_y,19-May-06,20-May-06,21-May-06,22-May-06,23-May-06,24-May-06,25-May-06,26-May-06,27-May-06,Capacity_y_y,28-May-06,29-May-06,30-May-06,31-May-06
Mississippi State Penitentiary,"4,529","4,473","4,479","4,473","4,488","4,488","4,481","4,479","4,473","4,478","4,529","4,484","4,495","4,493","4,490","4,483","4,474","4,478","4,491","4,490","4,529","4,485","4,482","4,480","4,476","4,485","4,493","4,495","4,488","4,484","4,529","4,481","4,478","4,475","4,488"
Central Mississippi Correctional Facility,"3,293","3,298","3,276","3,315","3,287","3,244","3,245","3,243","3,240","3,193","3,293","3,195","3,164","3,164","3,179","3,178","3,184","3,137","3,174","3,142","3,293","3,167","3,168","3,167","3,178","3,206","3,222","3,170","3,154","3,152","3,293","3,152","3,149","3,117","3,133"
South Mississippi Correctional Institution,"2,066","1,933","1,911","1,925","1,907","1,939","1,938","1,938","1,959","1,976","2,066","1,973","1,965","1,967","1,966","1,965","1,944","1,962","1,952","1,946","2,066","1,943","1,939","1,939","1,936","1,891","1,872","1,911","1,923","1,923","2,066","1,923","1,921","1,928","1,930"
County Jails,"2,056","1,663","1,640","1,603","1,631","1,651","1,651","1,651","1,656","1,682","2,056","1,689","1,698","1,690","1,690","1,690","1,706","1,740","1,728","1,747","2,056","1,720","1,720","1,720","1,753","1,737","1,747","1,740","1,750","1,750","2,056","1,750","1,751","1,794","1,656"
COMMUNITY WORK CENTERS,"1,816","1,787","1,782","1,769","1,773","1,753","1,751","1,751","1,760","1,746","1,816","1,737","1,760","1,720","1,718","1,717","1,763","1,769","1,761","1,773","1,816","1,700","1,700","1,701","1,762","1,780","1,775","1,776","1,765","1,759","1,816","1,757","1,754","1,768","1,759"
Alcorn Satellite Facility,92,91,91,91,92,90,90,90,90,90,92,90,90,87,87,87,91,91,90,90,92,86,86,86,89,90,91,91,90,89,92,89,89,88,89
Bolivar Satellite Facility,102,102,102,102,102,100,100,100,101,96,102,94,102,96,96,96,102,102,102,99,102,95,95,95,102,101,101,102,101,98,102,97,98,96,96
Forrest Satellite Facility,96,96,96,94,95,91,90,90,90,94,96,93,94,91,89,89,91,91,90,96,96,93,93,93,94,93,93,94,94,94,96,94,94,95,95
George Satellite Facility,102,101,101,99,99,96,96,96,98,98,102,98,99,100,100,100,100,99,99,99,102,95,95,95,99,99,99,101,101,101,102,101,101,100,100
Harrison Satellite Facility,102,102,102,99,97,101,101,101,100,100,102,100,101,90,90,90,99,99,99,102,102,97,98,98,102,102,102,101,97,97,102,97,97,101,101
Jackson Satellite Facility,102,101,100,101,101,98,98,98,101,98,102,97,100,98,98,98,100,100,97,96,102,88,87,87,95,101,101,102,100,99,102,99,98,98,97
Jefferson Satellite Facility,102,100,100,96,96,97,97,97,96,95,102,95,95,93,93,93,102,100,100,100,102,96,96,96,100,101,97,97,96,96,102,96,96,101,101
Leflore Satellite Facility,102,102,98,96,101,99,99,99,102,102,102,101,102,100,100,100,100,99,99,102,102,98,98,98,101,101,100,101,101,101,102,100,100,101,100
Madison Satellite Facility,102,101,101,101,101,98,98,98,96,95,102,95,102,101,101,101,101,101,102,102,102,99,99,99,100,100,100,99,99,99,102,99,99,102,102
Noxubee Satellite Facility,92,92,90,90,89,92,92,92,92,91,92,91,92,83,83,83,91,91,91,91,92,85,85,86,90,90,92,91,91,92,92,92,92,92,91
Pike Satellite Facility,93,88,88,88,88,88,88,88,87,86,93,85,87,89,89,88,89,88,89,89,93,86,86,86,87,89,89,89,88,88,93,88,88,90,89
Quitman Satellite Facility,93,88,89,88,88,89,88,88,85,85,93,85,86,84,84,84,88,88,88,88,93,80,80,80,86,90,89,87,85,84,93,84,84,84,84
Rankin Satellite Facility,228,221,223,222,220,219,219,219,223,222,228,221,220,220,220,220,221,221,218,218,228,217,217,217,221,220,219,219,219,218,228,218,215,219,215
Simpson Satellite Facility,102,102,101,101,102,101,101,101,101,101,102,99,95,96,96,96,101,98,97,101,102,98,98,98,98,98,97,97,101,101,102,101,101,100,100
Washington Satellite Facility,102,102,102,102,102,98,98,98,100,99,102,99,103,102,102,102,100,100,98,101,102,98,98,98,99,102,102,102,102,102,102,102,102,102,102
Wilkinson Satellite Facility,102,97,97,100,99,95,95,95,97,93,102,93,92,89,89,89,89,100,100,98,102,92,92,92,98,101,101,101,99,99,102,99,99,99,98
Yazoo Satellite Facility,102,101,101,99,101,101,101,101,101,101,102,101,100,101,101,101,98,101,102,101,102,97,97,97,101,102,102,102,101,101,102,101,101,100,99
REGIONAL CORRECTIONAL FACILITIES,"3,058","3,032","3,041","3,041","3,050","3,046","3,046","3,044","3,050","3,039","3,058","3,040","3,032","3,029","3,025","3,024","3,033","3,034","3,033","3,048","3,058","3,046","3,043","3,043","3,036","3,031","3,039","3,049","3,049","3,042","3,058","3,038","3,038","3,039","3,046"
Bolivar County,294,288,291,292,292,291,291,291,294,291,294,295,294,293,293,293,293,293,294,293,294,293,292,292,290,290,293,292,294,293,294,292,292,291,293
Carroll County,280,276,278,279,278,279,279,279,279,279,280,279,276,274,274,274,273,280,280,280,280,279,279,279,276,278,278,279,279,278,280,278,278,278,280
George County,280,278,278,276,279,278,278,278,283,279,280,278,280,279,277,277,280,280,280,280,280,280,279,279,278,273,274,278,277,277,280,277,277,277,279
Holmes County,280,280,280,280,280,278,278,278,277,276,280,276,280,280,280,279,280,278,279,278,280,278,278,278,280,279,279,280,280,279,280,278,278,277,277
Issaquena County,274,272,274,274,273,272,272,271,271,274,274,272,271,273,273,273,273,273,275,274,274,273,273,273,272,271,271,273,273,272,274,272,272,273,273
Jefferson County,250,250,248,248,248,250,250,250,249,244,250,244,243,242,242,242,244,244,244,250,250,250,250,250,250,250,250,250,250,249,250,249,249,248,249
Kemper County,280,279,277,278,280,280,280,280,280,280,280,280,280,280,279,279,280,279,276,276,280,279,279,279,276,277,278,277,278,277,280,277,277,278,277
Leake County,280,280,280,279,280,279,279,278,279,280,280,280,279,279,279,279,279,280,280,280,280,279,279,279,279,278,280,280,280,279,280,279,279,280,280
Marion County,280,273,278,278,280,279,279,279,279,278,280,278,273,273,272,272,277,277,276,279,280,278,278,278,278,279,279,280,280,280,280,280,280,279,279
Stone County,280,278,277,277,280,280,280,280,280,279,280,278,276,277,277,277,276,275,275,279,280,277,276,276,277,277,277,280,279,279,280,277,277,278,279
Winston County,280,278,280,280,280,280,280,280,279,279,280,280,280,279,279,279,278,275,274,279,280,280,280,280,280,279,280,280,279,279,280,279,279,280,280
PRIVATE PRISONS,"5,100","4,822","4,856","4,851","4,850","4,841","4,840","4,836","4,830","4,825","5,100","4,824","4,843","4,832","4,830","4,830","4,820","4,839","4,835","4,834","5,100","4,835","4,833","4,831","4,853","4,871","4,873","4,877","4,885","4,884","5,100","4,884","4,883","4,885","4,886"
Delta,972,956,967,968,972,972,972,972,971,971,972,971,968,965,965,965,964,961,960,960,972,959,959,959,971,971,970,969,970,970,972,969,968,971,971
East Mississippi,"1,000",867,867,868,868,868,868,866,870,868,"1,000",868,868,868,868,868,868,868,867,865,"1,000",865,865,864,866,866,874,873,875,875,"1,000",875,875,874,875
Marshall County,"1,000",991,995,994,995,995,994,994,993,994,"1,000",994,994,994,994,994,994,992,991,991,"1,000",989,988,987,991,993,992,992,994,994,"1,000",995,995,995,995
Tallahatchie County,128,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",949,948,942,942,936,936,935,936,935,"1,000",931,938,937,937,937,930,941,940,946,"1,000",945,945,945,943,950,947,942,948,947,"1,000",947,947,945,946
Wilkinson County,"1,000",932,952,951,945,942,942,941,932,929,"1,000",932,947,940,938,938,937,950,950,944,"1,000",949,948,948,954,963,962,973,970,970,"1,000",970,970,972,971
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,12,16,12,12,10,10,10,12,12,12,12,16,12,12,12,12,12,12,12,12,12,16,12,12,12,15
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,2,2,2,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,6
Hinds,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,2,2,3,2,26,24,25,3,3,,2,2,44,44,46,6,4,2,4,,75,74,73,5,6,6,6,6,6,,5,6,3,3
TOTALS,"21,940","21,027","21,004","20,997","21,005","21,005","20,993","20,984","20,988","20,959","21,940","20,961","20,976","20,954","20,957","20,948","20,947","20,980","20,993","21,001","21,940","20,988","20,976","20,971","21,016","21,024","21,044","21,041","21,037","21,017","21,940","21,007","20,997","21,026","20,921"
