"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19,229","33.58%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing)","1,498","2.62%"
"Other Custody","530",".93%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","21,292","37.19%"
"PAROLEES","7,310","12.77%"
"TVC Parole","192","0.34%"
"PROBATIONERS","28,328","49.48%"
"TVC Probation","135","0.24%"
"PAROLEE AND PROBATIONER TOTAL","35,965","62.81%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","57,257","100.00%"
