"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1245","1085","2011","4341"
"CMCF","1070","1089","976","3135"
"SMCI","683","597","750","2030"
"County Jails (approved)","642","502","127","1271"
"County Jails (unapproved)","23","21","8","52"
"Private Prisons","1032","1053","2685","4770"
"Regional Correctional Facilities","924","532","1591","3047"
"Community Work Centers","1029","654","4","1687"
"Community Trusties","8","4","6","18"
"Pending File Review","4","11","3","18"
"Court Order","165","166","62","393"
"TOTAL CUSTODY POPULATION","6825","5714","8223","20762"
"Intensive Supervison Program","594","969","43","1606"
"Earned Release Supervision","729","709","353","1791"
"Medical Release","5","3","3","11"
"Other Custody","111","121","71","303"
"At Large","31","85","19","135"
"Off-Grounds Medical (Hospital)","0","4","2","6"
