"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1252","1132","2144","4528"
"CMCF","1187","1155","958","3300"
"SMCI","690","578","802","2070"
"County Jails (approved)","719","505","142","1366"
"County Jails (unapproved)","58","87","33","178"
"Private Prisons","1058","1110","2699","4867"
"Regional Correctional Facilities","922","590","1560","3072"
"Community Work Centers","1167","613","0","1780"
"Community Trusties","9","6","5","20"
"Pending File Review","21","19","11","51"
"Court Order","114","133","53","300"
"TOTAL CUSTODY POPULATION","7197","5928","8407","21532"
"Intensive Supervison Program","558","937","34","1529"
"Earned Release Supervision","729","614","336","1679"
"Medical Release","4","2","3","9"
"Other Custody","130","105","74","309"
"At Large","39","62","26","127"
"Off-Grounds Medical (Hospital)","2","1","3","6"
