"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1287","1103","2104","4494"
"CMCF","1169","1169","994","3332"
"SMCI","763","651","887","2301"
"County Jails (approved)","767","545","142","1454"
"County Jails (unapproved)","53","37","17","107"
"Private Prisons","1063","1093","2688","4844"
"Regional Correctional Facilities","916","577","1574","3067"
"Community Work Centers","1139","613","3","1755"
"Community Trusties","9","4","5","18"
"Pending File Review","40","36","17","93"
"Court Order","98","122","39","259"
"TOTAL CUSTODY POPULATION","7304","5950","8470","21724"
"Intensive Supervison Program","566","908","35","1509"
"Earned Release Supervision","726","578","336","1640"
"Medical Release","4","2","2","8"
"Other Custody","118","93","70","281"
"At Large","35","64","24","123"
"Off-Grounds Medical (Hospital)","1","2","1","4"
