"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1265","1068","2112","4445"
"CMCF","1223","1165","1027","3415"
"SMCI","751","667","885","2303"
"County Jails (approved)","719","480","109","1308"
"County Jails (unapproved)","69","54","30","153"
"Private Prisons","1061","1143","2694","4898"
"Regional Correctional Facilities","938","587","1544","3069"
"Community Work Centers","1177","588","4","1769"
"Community Trusties","9","3","5","17"
"Pending File Review","13","22","12","47"
"Court Order","141","153","47","341"
"TOTAL CUSTODY POPULATION","7366","5930","8469","21765"
"Intensive Supervison Program","530","883","38","1451"
"Earned Release Supervision","721","588","351","1660"
"Medical Release","4","2","2","8"
"Other Custody","123","101","73","297"
"At Large","29","54","23","106"
"Off-Grounds Medical (Hospital)","2","2","3","7"
