"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1272","1078","2157","4507"
"CMCF","1267","1148","1001","3416"
"SMCI","794","696","893","2383"
"County Jails (approved)","751","524","140","1415"
"County Jails (unapproved)","55","49","35","139"
"Private Prisons","1045","1130","2711","4886"
"Regional Correctional Facilities","943","596","1535","3074"
"Community Work Centers","1162","591","6","1759"
"Community Trusties","8","4","5","17"
"Pending File Review","29","34","14","77"
"Court Order","131","136","51","318"
"TOTAL CUSTODY POPULATION","7457","5986","8548","21991"
"Intensive Supervison Program","532","883","40","1455"
"Earned Release Supervision","729","620","358","1707"
"Medical Release","4","3","2","9"
"Other Custody","122","101","71","294"
"At Large","27","54","23","104"
"Off-Grounds Medical (Hospital)","3","3","3","9"
