"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1289","1005","2190","4484"
"CMCF","1230","1171","1024","3425"
"SMCI","958","750","952","2660"
"County Jails (approved)","726","507","122","1355"
"County Jails (unapproved)","38","62","23","123"
"Private Prisons","1004","1080","2664","4748"
"Regional Correctional Facilities","918","570","1463","2951"
"Community Work Centers","1177","592","5","1774"
"Community Trusties","7","5","5","17"
"Pending File Review","61","48","75","184"
"Court Order","138","119","50","307"
"TOTAL CUSTODY POPULATION","7546","5909","8573","22028"
"Intensive Supervison Program","460","669","28","1157"
"Earned Release Supervision","684","598","370","1652"
"Medical Release","4","2","3","9"
"Other Custody","138","105","77","320"
"At Large","20","43","18","81"
"Off-Grounds Medical (Hospital)","1","2","4","7"
