"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1291","1006","2152","4449"
"CMCF","1179","1151","1029","3359"
"SMCI","966","784","997","2747"
"County Jails (approved)","727","478","109","1314"
"County Jails (unapproved)","77","66","20","163"
"Private Prisons","999","1090","2677","4766"
"Regional Correctional Facilities","963","578","1485","3026"
"Community Work Centers","1185","574","5","1764"
"Community Trusties","9","4","5","18"
"Pending File Review","37","28","31","96"
"Court Order","142","117","51","310"
"TOTAL CUSTODY POPULATION","7575","5876","8561","22012"
"Intensive Supervison Program","449","667","29","1145"
"Earned Release Supervision","682","589","385","1656"
"Medical Release","4","2","2","8"
"Other Custody","141","98","75","314"
"At Large","20","42","17","79"
"Off-Grounds Medical (Hospital)","2","4","3","9"
