"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1212","942","2131","4285"
"CMCF","1267","1124","1076","3467"
"SMCI","1141","860","1037","3038"
"County Jails (approved)","699","452","123","1274"
"County Jails (unapproved)","88","65","33","186"
"Private Prisons","1019","1044","2724","4787"
"Regional Correctional Facilities","995","567","1471","3033"
"Community Work Centers","1207","597","5","1809"
"Community Trusties","7","5","5","17"
"Pending File Review","24","24","35","83"
"Court Order","138","126","57","321"
"TOTAL CUSTODY POPULATION","7797","5806","8697","22300"
"Intensive Supervison Program","480","683","30","1193"
"Earned Release Supervision","695","613","392","1700"
"Medical Release","7","3","3","13"
"Other Custody","142","103","82","327"
"At Large","18","37","15","70"
"Off-Grounds Medical (Hospital)","2","7","2","11"
