"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1177","906","2101","4184"
"CMCF","1254","1157","1076","3487"
"SMCI","1172","844","1025","3041"
"County Jails (approved)","752","508","135","1395"
"County Jails (unapproved)","62","85","25","172"
"Private Prisons","1014","1002","2765","4781"
"Regional Correctional Facilities","999","558","1484","3041"
"Community Work Centers","1172","577","1","1750"
"Community Trusties","6","6","5","17"
"Pending File Review","47","24","31","102"
"Court Order","145","138","50","333"
"TOTAL CUSTODY POPULATION","7800","5805","8698","22303"
"Intensive Supervison Program","496","688","28","1212"
"Earned Release Supervision","725","611","396","1732"
"Medical Release","6","3","3","12"
"Other Custody","140","101","82","323"
"At Large","20","37","15","72"
"Off-Grounds Medical (Hospital)","2","4","3","9"
