"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1192","931","2085","4208"
"CMCF","1290","1127","1115","3532"
"SMCI","1181","865","1045","3091"
"County Jails (approved)","761","485","142","1388"
"County Jails (unapproved)","96","88","35","219"
"Private Prisons","1015","992","2760","4767"
"Regional Correctional Facilities","995","570","1467","3032"
"Community Work Centers","1149","577","0","1726"
"Community Trusties","8","5","5","18"
"Pending File Review","74","31","22","127"
"Court Order","155","144","56","355"
"TOTAL CUSTODY POPULATION","7916","5815","8732","22463"
"Intensive Supervison Program","485","670","29","1184"
"Earned Release Supervision","728","607","398","1733"
"Medical Release","6","3","3","12"
"Other Custody","141","103","80","324"
"At Large","20","35","13","68"
"Off-Grounds Medical (Hospital)","0","1","3","4"
