"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1197","937","2086","4220"
"CMCF","1350","1118","1156","3624"
"SMCI","1202","882","1046","3130"
"County Jails (approved)","712","490","131","1333"
"County Jails (unapproved)","94","89","41","224"
"Private Prisons","1037","1001","2748","4786"
"Regional Correctional Facilities","1010","564","1457","3031"
"Community Work Centers","1171","581","1","1753"
"Community Trusties","9","4","5","18"
"Pending File Review","42","28","32","102"
"Court Order","147","133","70","350"
"TOTAL CUSTODY POPULATION","7971","5827","8773","22571"
"Intensive Supervison Program","478","647","28","1153"
"Earned Release Supervision","716","613","401","1730"
"Medical Release","7","4","3","14"
"Other Custody","128","100","81","309"
"At Large","20","33","13","66"
"Off-Grounds Medical (Hospital)","0","3","1","4"
