"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1191","921","2047","4159"
"CMCF","1346","1176","1210","3732"
"SMCI","1191","839","1057","3087"
"County Jails (approved)","784","494","150","1428"
"County Jails (unapproved)","89","94","44","227"
"Private Prisons","1022","1017","2770","4809"
"Regional Correctional Facilities","1042","571","1465","3078"
"Community Work Centers","1217","562","0","1779"
"Community Trusties","8","3","6","17"
"Pending File Review","20","13","11","44"
"Court Order","171","140","68","379"
"TOTAL CUSTODY POPULATION","8081","5830","8828","22739"
"Intensive Supervison Program","483","655","28","1166"
"Earned Release Supervision","748","622","404","1774"
"Medical Release","7","4","4","15"
"Other Custody","122","99","79","300"
"At Large","19","32","12","63"
"Off-Grounds Medical (Hospital)","2","2","2","6"
