"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1209","896","2100","4205"
"CMCF","1358","1173","1193","3724"
"SMCI","1197","862","1068","3127"
"County Jails (approved)","753","497","129","1379"
"County Jails (unapproved)","127","112","57","296"
"Private Prisons","1006","1000","2799","4805"
"Regional Correctional Facilities","1041","570","1469","3080"
"Community Work Centers","1223","565","2","1790"
"Community Trusties","8","4","6","18"
"Pending File Review","50","46","9","105"
"Court Order","128","119","51","298"
"TOTAL CUSTODY POPULATION","8100","5844","8883","22827"
"Intensive Supervison Program","492","670","30","1192"
"Earned Release Supervision","758","603","418","1779"
"Medical Release","15","10","7","32"
"Other Custody","123","103","80","306"
"At Large","18","31","12","61"
"Off-Grounds Medical (Hospital)","5","3","3","11"
