"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1152","892","2029","4073"
"CMCF","1294","1127","1177","3598"
"SMCI","1108","849","1123","3080"
"County Jails (approved)","881","499","159","1539"
"County Jails (unapproved)","110","154","64","328"
"Private Prisons","1022","1127","2852","5001"
"Regional Correctional Facilities","1025","527","1526","3078"
"Community Work Centers","1252","546","1","1799"
"Community Trusties","7","7","6","20"
"Pending File Review","35","37","11","83"
"Court Order","155","115","69","339"
"TOTAL CUSTODY POPULATION","8041","5880","9017","22938"
"Intensive Supervison Program","497","675","39","1211"
"Earned Release Supervision","786","616","439","1841"
"Medical Release","18","10","6","34"
"Other Custody","121","113","78","312"
"At Large","16","31","11","58"
"Off-Grounds Medical (Hospital)","3","0","2","5"
