"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1151","906","1891","3948"
"CMCF","1318","1139","1209","3666"
"SMCI","1110","870","1125","3105"
"County Jails (approved)","806","446","98","1350"
"County Jails (unapproved)","71","93","43","207"
"Private Prisons","1092","1193","3081","5366"
"Regional Correctional Facilities","1009","537","1523","3069"
"Community Work Centers","1223","534","1","1758"
"Community Trusties","9","6","6","21"
"Pending File Review","83","55","9","147"
"Court Order","159","127","64","350"
"TOTAL CUSTODY POPULATION","8031","5906","9050","22987"
"Intensive Supervison Program","503","687","36","1226"
"Earned Release Supervision","780","629","443","1852"
"Medical Release","20","11","6","37"
"Other Custody","128","112","81","321"
"At Large","16","31","11","58"
"Off-Grounds Medical (Hospital)","2","0","1","3"
