"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1107","930","1882","3919"
"CMCF","1222","1080","1166","3468"
"SMCI","1140","867","1129","3136"
"County Jails (approved)","783","410","99","1292"
"County Jails (unapproved)","111","120","57","288"
"Private Prisons","1097","1225","3171","5493"
"Regional Correctional Facilities","1003","539","1534","3076"
"Community Work Centers","1253","560","0","1813"
"Community Trusties","7","4","6","17"
"Pending File Review","30","36","13","79"
"Court Order","105","90","55","250"
"TOTAL CUSTODY POPULATION","7858","5861","9112","22831"
"Intensive Supervison Program","476","664","38","1178"
"Earned Release Supervision","725","629","451","1805"
"Medical Release","21","11","6","38"
"Other Custody","126","115","81","322"
"At Large","15","29","11","55"
"Off-Grounds Medical (Hospital)","0","3","2","5"
