"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1022","875","1992","3889"
"CMCF","972","1006","1172","3150"
"SMCI","989","862","1161","3012"
"County Jails (approved)","660","314","53","1027"
"County Jails (unapproved)","87","106","45","238"
"Private Prisons","1004","1218","3265","5487"
"Regional Correctional Facilities","700","584","1615","2899"
"Community Work Centers","1039","567","2","1608"
"Community Trusties","6","4","6","16"
"Pending File Review","115","51","9","175"
"Court Order","102","95","43","240"
"TOTAL CUSTODY POPULATION","6696","5682","9363","21741"
"Intensive Supervison Program","525","727","26","1278"
"Earned Release Supervision","514","546","464","1524"
"Medical Release","20","10","7","37"
"Other Custody","139","123","87","349"
"At Large","12","27","8","47"
"Off-Grounds Medical (Hospital)","2","4","2","8"
