"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1007","833","2080","3920"
"CMCF","953","1126","1205","3284"
"SMCI","892","772","1057","2721"
"County Jails (approved)","671","391","62","1124"
"County Jails (unapproved)","81","104","42","227"
"Private Prisons","1006","1271","3257","5534"
"Regional Correctional Facilities","709","629","1666","3004"
"Community Work Centers","944","536","8","1488"
"Community Trusties","7","3","6","16"
"Pending File Review","22","20","6","48"
"Court Order","100","79","40","219"
"TOTAL CUSTODY POPULATION","6392","5764","9429","21585"
"Intensive Supervison Program","593","723","28","1344"
"Earned Release Supervision","475","539","465","1479"
"Medical Release","20","10","7","37"
"Other Custody","143","126","88","357"
"At Large","12","26","8","46"
"Off-Grounds Medical (Hospital)","3","1","5","9"
