"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","965","792","2163","3920"
"CMCF","924","957","1319","3200"
"SMCI","898","780","1286","2964"
"County Jails (approved)","642","394","76","1112"
"County Jails (unapproved)","58","72","29","159"
"Private Prisons","844","1132","3299","5275"
"Regional Correctional Facilities","600","517","1683","2800"
"Community Work Centers","1131","645","13","1789"
"Community Trusties","7","3","6","16"
"Pending File Review","38","36","9","83"
"Court Order","83","76","44","203"
"TOTAL CUSTODY POPULATION","6190","5404","9927","21521"
"Intensive Supervison Program","663","707","43","1413"
"Earned Release Supervision","404","480","531","1415"
"Medical Release","18","9","8","35"
"Other Custody","143","116","95","354"
"At Large","12","25","8","45"
"Off-Grounds Medical (Hospital)","2","2","6","10"
