"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","933","758","2213","3904"
"CMCF","1010","983","1340","3333"
"SMCI","928","801","1350","3079"
"County Jails (approved)","587","377","62","1026"
"County Jails (unapproved)","60","48","26","134"
"Private Prisons","805","1094","3282","5181"
"Regional Correctional Facilities","522","436","1560","2518"
"Community Work Centers","1079","616","13","1708"
"Community Trusties","7","3","6","16"
"Pending File Review","83","61","14","158"
"Court Order","88","104","64","256"
"TOTAL CUSTODY POPULATION","6102","5281","9930","21313"
"Intensive Supervison Program","742","720","44","1506"
"Earned Release Supervision","372","477","537","1386"
"Medical Release","18","10","9","37"
"Other Custody","137","118","95","350"
"At Large","11","25","8","44"
"Off-Grounds Medical (Hospital)","3","3","3","9"
