"COMMUNITY CORRECTIONS STATISTICS","",""
"ACTIVE CASELOADS","",""
"","NO. OF","% of TOTAL"
"STATUS","OFFENDERS","OFFENDERS"
"Probation","8,804","20.35%"
"Probation - Compact","1,397","3.23%"
"Probation - Nonadjudicated","4,275","9.88%"
"Probation - Post Release","17,324","40.05%"
"PROBATION TOTAL","31,800","73.52%"
"Parole","7,950","18.38%"
"Parole - Compact","533","1.23%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","8,483","19.61%"
"Intensive Supervision Program - Court","1,096","2.53%"
"Intensive Supervision Program - Prison","541","1.25%"
"Earned Release Supervision","1,309","3.03%"
"Medical Release","25",".06%"
"COMMUNITY INMATE TOTAL","2,971","6.87%"
"TOTAL","43,254","100.00%"
